Rank,Name,Weight Class,Record,Age,Location,Wins,Losses,Draws,Total Fights,Win Percentage,Region,Country,LAT,LON
671,Diego Pacheco,super middle,17 0 0,21.0,"Los Angeles, California, USA",17,0,0,17,100.0,"Los Angeles, California", USA,40.22200922267895,-100.4576045943687
672,Sam Maxwell,super light,16 1 0,34.0,"Liverpool, Merseyside, United Kingdom",16,1,0,17,94.1,"Liverpool, Merseyside", United Kingdom,53.59475866204024,-3.8384951223391712
673,Emiliano Marsili,light,42 0 1,46.0,"Civitavecchia, Lazio, Italy",42,0,1,43,97.7,"Civitavecchia, Lazio", Italy,43.07535663114663,13.092557028828617
674,"Jamshidbek 
 Najmitdinov",welter,21 2 0,31.0,"Brooklyn, New York, USA",21,2,0,23,91.3,"Brooklyn, New York", USA,39.612697572840275,-100.45079211165464
675,Zoravor Petrosian,super light,13 2 0,24.0,"Kiev, Ukraine",13,2,0,15,86.7,Kiev, Ukraine,49.21134893804065,30.957802926046078
676,Faris Chevalier,light heavy,13 3 0,36.0,"Brisbane, Queensland, Australia",13,3,0,16,81.2,"Brisbane, Queensland", Australia,-24.51812998871368,134.76606358245112
677,Carlos Caraballo,bantam,15 2 0,27.0,"Ponce, Puerto Rico",15,2,0,17,88.2,Ponce, Puerto Rico,18.40184114562489,-66.6446930265991
678,Victor Ortiz,welter,33 7 3,35.0,"Ventura, California, USA",33,7,3,43,76.7,"Ventura, California", USA,40.259848614113245,-100.70371809474122
679,Isaiah Steen,super middle,16 1 0,26.0,"Cleveland, Ohio, USA",16,1,0,17,94.1,"Cleveland, Ohio", USA,40.17614285204321,-100.8200903227659
680,Serhii Bohachuk,super welter,21 1 0,27.0,"Los Angeles, California, USA",21,1,0,22,95.5,"Los Angeles, California", USA,38.8159395681876,-100.04107333451243
681,Jordan Gill,feather,27 2 1,28.0,"Chatteris, Cambridgeshire, United Kingdom",27,2,1,30,90.0,"Chatteris, Cambridgeshire", United Kingdom,55.43075929098346,-3.456297037405698
682,"David Moreno 
 Potrero",super light,13 0 1,21.0,"Tijuana, Baja California, Mexico",13,0,1,14,92.9,"Tijuana, Baja California", Mexico,23.43344593726855,-102.10864196143957
683,Koen Mazoudier,super welter,11 2 0,27.0,"Blacktown, New South Wales, Australia",11,2,0,13,84.6,"Blacktown, New South Wales", Australia,-24.919701963770436,135.1225502147843
684,Wade Ryan,super welter,20 11 0,32.0,"Gunnedah, New South Wales, Australia",20,11,0,31,64.5,"Gunnedah, New South Wales", Australia,-25.145816991118863,134.56464635805125
685,Keyshawn Davis,light,7 0 0,23.0,"Norfolk, Virginia, USA",7,0,0,7,100.0,"Norfolk, Virginia", USA,40.76971263685352,-100.89795981643626
686,Roman Zakirov,welter,8 0 0,26.0,"Baku, Azerbaijan",8,0,0,8,100.0,Baku, Azerbaijan,40.21515393860701,47.8734401806407
687,Johan Gonzalez,super welter,31 2 0,31.0,"Panama City, Panama",31,2,0,33,93.9,Panama City, Panama,6.907180419106735,-81.7650593006539
688,Fabio Turchi,cruiser,21 2 0,29.0,"Florence, Toscana, Italy",21,2,0,23,91.3,"Florence, Toscana", Italy,43.12018851970634,13.335783506955693
689,"Gerardo Luis 
 Vergara",middle,17 0 0,28.0,"Bahia Blanca, Buenos Aires, Argentina",17,0,0,17,100.0,"Bahia Blanca, Buenos Aires", Argentina,-34.102476170605385,-64.88192244669962
690,Omar Juarez,super light,13 1 0,23.0,"Brownsville, Texas, USA",13,1,0,14,92.9,"Brownsville, Texas", USA,40.177832157357464,-100.6810296020327
691,Alfredo Santiago,super light,14 2 0,28.0,"Fajardo, Puerto Rico",14,2,0,16,87.5,Fajardo, Puerto Rico,18.453519188115905,-66.85056047344726
692,Hassan Mwakinyo,super welter,20 3 0,27.0,"Miami, Florida, USA",20,3,0,23,87.0,"Miami, Florida", USA,39.576422152029,-101.81424337243796
693,Angel Cruz Johnson,super welter,9 0 0,28.0,"Samana, Dominican Republic",9,0,0,9,100.0,Samana, Dominican Republic,19.46473107508531,-70.17224725436155
694,Shigabudin Aliev,heavy,10 0 1,29.0,"Kizilyurt, Russia",10,0,1,11,90.9,Kizilyurt, Russia,64.77404281395916,97.95693681081413
695,"Misael Cabrera 
 Urias",light,13 1 0,23.0,"Ciudad Obregon, Sonora, Mexico",13,1,0,14,92.9,"Ciudad Obregon, Sonora", Mexico,23.762606403421906,-102.05339172774995
696,April Jay Abne,fly,11 1 0,23.0,"Cebu City, Cebu, Philippines",11,1,0,12,91.7,"Cebu City, Cebu", Philippines,12.797282642357649,121.73211603845398
697,"David Cuellar 
 Contreras",super fly,23 0 0,21.0,"Queretaro, Queretaro, Mexico",23,0,0,23,100.0,"Queretaro, Queretaro", Mexico,23.558877723306413,-102.09053183092291
698,Damian Wrzesinski,super feather,26 2 2,35.0,"Poznan, Poland",26,2,2,30,86.7,Poznan, Poland,51.95566353970011,18.68287333115054
699,Erick Omar Lopez,fly,16 7 2,28.0,"Guadalajara, Jalisco, Mexico",16,7,2,25,64.0,"Guadalajara, Jalisco", Mexico,23.545174462716307,-101.63704775040702
700,Petros Ananyan,super light,17 3 2,34.0,"Los Angeles, California, USA",17,3,2,22,77.3,"Los Angeles, California", USA,39.224372008278415,-100.46217534066248
701,Patrick Teixeira,super welter,32 4 0,32.0,"Sombrio, Santa Catarina, Brazil",32,4,0,36,88.9,"Sombrio, Santa Catarina", Brazil,-9.742680381020232,-52.73901963233372
702,Jordan White,super feather,14 1 0,25.0,"Washington, District of Columbia, USA",14,1,0,15,93.3,"Washington, District of Columbia", USA,39.82543888419208,-100.35939115001473
703,Agit Kabayel,heavy,22 0 0,30.0,"Bochum, Nordrhein-Westfalen, Germany",22,0,0,22,100.0,"Bochum, Nordrhein-Westfalen", Germany,51.50021570649829,10.663438651867015
704,Yuna Hara,super feather,12 2 1,28.0,"Kobe, Hyogo, Japan",12,2,1,15,80.0,"Kobe, Hyogo", Japan,36.43382097771553,138.8019309196368
705,Jose Angel Napoles,light,13 1 2,24.0,"Mexico City, Distrito Federal, Mexico",13,1,2,16,81.2,"Mexico City, Distrito Federal", Mexico,24.260557959977703,-101.49146459048065
706,Damian Sosa,super welter,22 1 0,25.0,"Tijuana, Baja California, Mexico",22,1,0,23,95.7,"Tijuana, Baja California", Mexico,24.311476240894606,-102.04431663630521
707,Sergey Kuzmin,heavy,18 2 0,35.0,"Saint Petersburg, Russia",18,2,0,20,90.0,Saint Petersburg, Russia,65.1993254614706,98.51771857589155
708,Mohamed Kani,welter,21 3 0,32.0,"Montpellier, Hérault, France",21,3,0,24,87.5,"Montpellier, Hérault", France,46.77434051846702,1.8815947907224941
709,Sandy Messaoud,welter,16 6 0,36.0,"Saint-Ave, Morbihan, France",16,6,0,22,72.7,"Saint-Ave, Morbihan", France,46.60346087244481,2.491727744936065
710,Daud Yordan,super light,42 4 0,35.0,"Sukadana, Indonesia",42,4,0,46,91.3,Sukadana, Indonesia,-2.390298033077108,118.22023888120577
711,"Frency Fortunato 
 Saya",feather,14 1 0,24.0,"California, USA",14,1,0,15,93.3,California, USA,40.032930357898344,-100.9044315119352
712,Takeshi Inoue,super welter,19 2 1,33.0,"Tokyo, Japan",19,2,1,22,86.4,Tokyo, Japan,35.69094356686734,139.78692062462608
713,Aram Amirkhanyan,welter,14 0 1,32.0,"Glendale, California, USA",14,0,1,15,93.3,"Glendale, California", USA,40.75419662972397,-99.97990210415708
714,Edward Vazquez,super feather,13 1 0,27.0,"Fort Worth, Texas, USA",13,1,0,14,92.9,"Fort Worth, Texas", USA,39.71785814089773,-101.38347290266044
715,Andrii Velikovskyi,super middle,21 3 2,28.0,"Karlsruhe, Baden-Württemberg, Germany",21,3,2,26,80.8,"Karlsruhe, Baden-Württemberg", Germany,51.431166406618956,10.16242443027106
716,Christian Araneta,light fly,22 2 0,27.0,"Cebu City, Cebu, Philippines",22,2,0,24,91.7,"Cebu City, Cebu", Philippines,12.56157454130755,122.60005215664066
717,Jerry Forrest,heavy,26 6 2,34.0,"Newport News, Virginia, USA",26,6,2,34,76.5,"Newport News, Virginia", USA,40.31830247751451,-101.24027922345275
718,Viktor Slavinskyi,super feather,13 2 1,32.0,"Los Angeles, California, USA",13,2,1,16,81.2,"Los Angeles, California", USA,39.72191426870007,-100.99870938439445
719,Liborio Solis,bantam,35 6 1,40.0,"Panama City, Panama",35,6,1,42,83.3,Panama City, Panama,9.217601917318214,-81.19902825369047
720,Adrian Lerasan,super fly,12 4 0,23.0,"Mandaluyong City, Metro Manila, Philippines",12,4,0,16,75.0,"Mandaluyong City, Metro Manila", Philippines,12.87261208974004,123.27827505207466
721,Miguel Roman,super feather,64 14 0,37.0,"Ciudad Juarez, Chihuahua, Mexico",64,14,0,78,82.1,"Ciudad Juarez, Chihuahua", Mexico,24.06175497719267,-102.52518543211002
722,Alberto Machado,super light,23 3 0,32.0,"San Juan, Puerto Rico",23,3,0,26,88.5,San Juan, Puerto Rico,17.494037370906465,-67.06722353456591
723,Diego Carmona,super welter,13 1 0,24.0,"Mexico City, Distrito Federal, Mexico",13,1,0,14,92.9,"Mexico City, Distrito Federal", Mexico,23.442450812936354,-101.46218778881864
724,Koichi Aso,super light,25 10 1,36.0,"Tokyo, Japan",25,10,1,36,69.4,Tokyo, Japan,37.467389387824696,139.06333935910743
725,Dante Jardon,super welter,35 9 0,34.0,"Mexico City, Distrito Federal, Mexico",35,9,0,44,79.5,"Mexico City, Distrito Federal", Mexico,24.24723960788565,-101.2970924100385
726,Lukas Dekys,welter,8 0 0,26.0,"Chalupki, Poland",8,0,0,8,100.0,Chalupki, Poland,52.29750760260459,18.727348822747683
727,Alberto Palmetta,welter,18 1 0,32.0,"Beccar, Buenos Aires, Argentina",18,1,0,19,94.7,"Beccar, Buenos Aires", Argentina,-34.82738894721737,-65.47365706668688
728,Victor Morales,feather,17 0 1,24.0,"Vancouver, Washington, USA",17,0,1,18,94.4,"Vancouver, Washington", USA,39.3597710605084,-100.57219948984232
729,"Sebastian Horacio 
 Papeschi",super middle,19 4 0,31.0,"Lujan, Buenos Aires, Argentina",19,4,0,23,82.6,"Lujan, Buenos Aires", Argentina,-34.85709394650154,-64.11577794291875
730,Daniel Valladares,minimum,27 3 1,28.0,"Monterrey, Nuevo León, Mexico",27,3,1,31,87.1,"Monterrey, Nuevo León", Mexico,24.707350158760693,-100.96659133349472
731,"Ibrahim Class 
 Mgender",super feather,28 6 0,32.0,"Dar-Es-Salaam, Tanzania",28,6,0,34,82.4,Dar-Es-Salaam, Tanzania,-6.313776639032338,36.090757310319525
732,Khalid Yafai,bantam,27 1 0,33.0,"Birmingham, West Midlands, United Kingdom",27,1,0,28,96.4,"Birmingham, West Midlands", United Kingdom,54.388456517872555,-3.110369273053263
733,Jorge Garcia Perez,super welter,25 3 0,25.0,"Los Mochis, Sinaloa, Mexico",25,3,0,28,89.3,"Los Mochis, Sinaloa", Mexico,23.90270030662396,-102.37570727673359
734,Cristiano Aoqui,super light,16 9 2,33.0,"Tokyo, Japan",16,9,2,27,59.3,Tokyo, Japan,36.639546559219745,139.6440965560286
735,Fumiya Fuse,bantam,12 2 0,24.0,"Tokyo, Japan",12,2,0,14,85.7,Tokyo, Japan,36.3854238087111,139.2563587193301
736,Jon Miguez,welter,17 0 0,26.0,"Castro Urdiales, Cantabria, Spain",17,0,0,17,100.0,"Castro Urdiales, Cantabria", Spain,38.92854963529153,-4.712657106149557
737,Ryuya Yamanaka,fly,18 3 0,27.0,"Kobe, Hyogo, Japan",18,3,0,21,85.7,"Kobe, Hyogo", Japan,36.470509581441604,139.58079739453524
738,Efetobor Apochi,cruiser,11 2 0,35.0,"Houston, Texas, USA",11,2,0,13,84.6,"Houston, Texas", USA,39.47012025854905,-100.66556831023513
739,Dana Coolwell,feather,9 2 0,23.0,"Beerwah, Queensland, Australia",9,2,0,11,81.8,"Beerwah, Queensland", Australia,-25.186297978472016,135.24500064646512
740,Ulugbek Sobirov,super welter,11 2 0,24.0,"Andijan, Uzbekistan",11,2,0,13,84.6,Andijan, Uzbekistan,41.63322005932971,63.202172197676504
741,Moruti Mthalane,super fly,40 3 0,40.0,"KwaZulu-Natal, South Africa",40,3,0,43,93.0,KwaZulu-Natal, South Africa,-28.886430309889928,24.883912376577726
742,"Jose de Jesus 
 Macias",super middle,28 11 4,30.0,"El Salto, Jalisco, Mexico",28,11,4,43,65.1,"El Salto, Jalisco", Mexico,23.83718487315999,-101.37685700844264
743,Ivan Dychko,heavy,12 0 0,32.0,"Kissimmee, Florida, USA",12,0,0,12,100.0,"Kissimmee, Florida", USA,39.900324518135236,-99.98023832768527
744,Aleksei Egorov,cruiser,11 1 0,31.0,"Obninsk, Russia",11,1,0,12,91.7,Obninsk, Russia,64.91992430739738,97.86614241902325
745,Archie Sharp,super feather,22 0 0,27.0,"Welling, London, United Kingdom",22,0,0,22,100.0,"Welling, London", United Kingdom,54.47146105730603,-3.7527118520039484
746,Tramaine Williams,super bantam,20 1 0,30.0,"New Haven, Connecticut, USA",20,1,0,21,95.2,"New Haven, Connecticut", USA,39.47635752504517,-100.60666839027787
747,Rafael Espinoza,feather,21 0 0,28.0,"Guadalajara, Jalisco, Mexico",21,0,0,21,100.0,"Guadalajara, Jalisco", Mexico,24.339287681264917,-102.4788817787716
748,"Cristian Gonzalez 
 Hernandez",fly,15 1 0,23.0,"Tultitlán, México, Mexico",15,1,0,16,93.8,"Tultitlán, México", Mexico,23.693358572395937,-102.65576279660831
749,Lisandro Barazarte,feather,8 0 1,24.0,Venezuela,8,0,1,9,88.9,Venezuela,,45.073603037782895,7.692635782649259
749,Lisandro Barazarte,feather,8 0 1,24.0,Venezuela,8,0,1,9,88.9,Venezuela,,46.54774098868935,10.63048911150138
750,Louis Greene,super welter,15 3 0,30.0,"Strood, Kent, United Kingdom",15,3,0,18,83.3,"Strood, Kent", United Kingdom,54.071360571731674,-3.2496798295643208
751,Jonathan Rice,heavy,15 6 1,35.0,"Los Angeles, California, USA",15,6,1,22,68.2,"Los Angeles, California", USA,40.07498146119142,-100.41341447971308
752,Ralfs Vilcans,super middle,14 0 0,28.0,"Riga, Latvia",14,0,0,14,100.0,Riga, Latvia,56.942865967167265,24.906749158157833
753,Thattana Luangphon,super bantam,19 0 1,25.0,"Bangkok, Thailand",19,0,1,20,95.0,Bangkok, Thailand,14.974303724347045,100.92362727783548
754,"Jesus Arechiga 
 Valdez",super bantam,18 0 0,22.0,"Mazatlan, Sinaloa, Mexico",18,0,0,18,100.0,"Mazatlan, Sinaloa", Mexico,23.4515950266085,-101.74862273701147
755,"Angel Nicolas 
 Aquino",bantam,10 4 1,30.0,"Olivos, Buenos Aires, Argentina",10,4,1,15,66.7,"Olivos, Buenos Aires", Argentina,-35.28419469381114,-65.18895888618627
756,Starling Castillo,light,17 1 1,27.0,"Quina Sueneo, Dominican Republic",17,1,1,19,89.5,Quina Sueneo, Dominican Republic,19.26974065210478,-70.65938829246711
757,Mauro Forte,feather,17 0 2,28.0,"Roma, Lazio, Italy",17,0,2,19,89.5,"Roma, Lazio", Italy,42.23343853694385,13.153152846716393
758,Jose Ramirez Maciel,bantam,17 1 0,23.0,"Mexicali, Baja California, Mexico",17,1,0,18,94.4,"Mexicali, Baja California", Mexico,22.970396773634896,-102.83433210608933
759,Francesco Grandelli,feather,16 1 2,28.0,"Cambiano, Piemonte, Italy",16,1,2,19,84.2,"Cambiano, Piemonte", Italy,43.39272123507617,12.399679562791793
760,Tanes Ongjunta,fly,11 1 0,30.0,"Bangkok, Thailand",11,1,0,12,91.7,Bangkok, Thailand,14.004594366264936,100.47027875627506
761,Shefat Isufi,light heavy,36 4 2,32.0,"Munich, Bayern, Germany",36,4,2,42,85.7,"Munich, Bayern", Germany,50.205587226245996,10.873311597545632
762,David Allen,heavy,20 5 2,30.0,"Conisbrough, Yorkshire, United Kingdom",20,5,2,27,74.1,"Conisbrough, Yorkshire", United Kingdom,54.145890964450736,-2.874265925792632
763,Przemyslaw Zysk,super welter,18 1 0,30.0,Poland,18,1,0,19,94.7,Poland,,44.633751790616785,6.731561217438513
763,Przemyslaw Zysk,super welter,18 1 0,30.0,Poland,18,1,0,19,94.7,Poland,,45.88991586800855,10.197216949167805
764,Liam Dillon,super feather,12 0 1,26.0,"Chingford, London, United Kingdom",12,0,1,13,92.3,"Chingford, London", United Kingdom,54.99362933182924,-2.632057994045258
765,George Ashie,super light,33 5 1,38.0,"Accra, Ghana",33,5,1,39,84.6,Accra, Ghana,8.08344100295613,-0.8492067290986832
766,Galal Yafai,fly,3 0 0,30.0,"Birmingham, West Midlands, United Kingdom",3,0,0,3,100.0,"Birmingham, West Midlands", United Kingdom,54.59286671884194,-2.878054200670861
767,Hironori Shigeta,welter,8 2 2,32.0,"Tokyo, Japan",8,2,2,12,66.7,Tokyo, Japan,36.471482140906865,139.4967292864805
768,Luis Enrique Romero,super light,11 6 1,37.0,"Valencia, Comunidad Valenciana, Spain",11,6,1,18,61.1,"Valencia, Comunidad Valenciana", Spain,39.645663812385685,-4.588260281393421
769,Shoki Sakai,welter,26 13 3,31.0,"Yokohama, Kanagawa, Japan",26,13,3,42,61.9,"Yokohama, Kanagawa", Japan,37.06438822029844,138.91100899378458
770,Ryo Nakai,super feather,5 1 1,24.0,"Tokyo, Japan",5,1,1,7,71.4,Tokyo, Japan,35.982068736763594,139.58670457781207
771,Marcin Siwy,heavy,25 0 1,31.0,"Czestochowa, Poland",25,0,1,26,96.2,Czestochowa, Poland,51.52019232667143,18.41729363880669
772,Andranik Grigorian,feather,15 1 0,29.0,"Miami Beach, Florida, USA",15,1,0,16,93.8,"Miami Beach, Florida", USA,38.09536802377655,-100.31181840937357
773,"Christian Olivo 
 Barreda",super bantam,20 0 1,23.0,"Hermosillo, Sonora, Mexico",20,0,1,21,95.2,"Hermosillo, Sonora", Mexico,22.72523379605572,-102.05640200622197
774,Rafael Guzman Lugo,welter,26 2 2,27.0,"Ensenada, Baja California, Mexico",26,2,2,30,86.7,"Ensenada, Baja California", Mexico,23.76902122715684,-102.28291015987563
775,Armend Xhoxhaj,cruiser,14 2 0,28.0,"Nuremberg (Nürnberg), Bayern, Germany",14,2,0,16,87.5,"Nuremberg (Nürnberg), Bayern", Germany,50.247575266366404,10.730526286869
776,Gurgen Hovhannisyan,heavy,4 0 0,24.0,"Los Angeles, California, USA",4,0,0,4,100.0,"Los Angeles, California", USA,39.41206974379979,-100.3209049978849
777,Huseyin Cinkara,cruiser,19 0 0,37.0,"Schifferstadt, Rheinland-Pfalz, Germany",19,0,0,19,100.0,"Schifferstadt, Rheinland-Pfalz", Germany,51.371638323539365,9.771498384095107
778,Jon Fernandez,super light,23 3 0,27.0,"Bilbao, País Vasco, Spain",23,3,0,26,88.5,"Bilbao, País Vasco", Spain,39.69921098954289,-4.939821244883594
779,Kazuki Anaguchi,bantam,4 0 0,22.0,"Kobe, Hyogo, Japan",4,0,0,4,100.0,"Kobe, Hyogo", Japan,36.67808182552014,140.10596208208042
780,Sultan Zaurbek,super feather,13 0 0,26.0,"Shymkent, Kazakhstan",13,0,0,13,100.0,Shymkent, Kazakhstan,48.59352173479364,66.43632868761692
781,Miguel Vazquez,light,44 11 0,35.0,"Guadalajara, Jalisco, Mexico",44,11,0,55,80.0,"Guadalajara, Jalisco", Mexico,23.712954820513456,-102.45575024522371
782,Bek Nurmaganbet,super middle,8 0 0,24.0,"Turkestan, Kazakhstan",8,0,0,8,100.0,Turkestan, Kazakhstan,48.21674460100818,67.31992618976078
783,Albert Khamkhoev,super welter,8 0 0,30.0,"Nazran, Russia",8,0,0,8,100.0,Nazran, Russia,65.17228297223049,97.82623761063097
784,Dylan Price,bantam,15 0 0,24.0,"Sicklerville, New Jersey, USA",15,0,0,15,100.0,"Sicklerville, New Jersey", USA,39.66593440567563,-100.42222092054456
785,Yuriorkis Gamboa,light,30 5 0,40.0,"Miami, Florida, USA",30,5,0,35,85.7,"Miami, Florida", USA,40.60218862554344,-100.4193145405519
786,Mukhammad Shekhov,super bantam,11 0 1,30.0,"Bukhara, Uzbekistan",11,0,1,12,91.7,Bukhara, Uzbekistan,42.01537453154461,64.01277438016368
787,Abimael Ortiz,super bantam,10 1 1,26.0,"Cidra, Puerto Rico",10,1,1,12,83.3,Cidra, Puerto Rico,18.352256323365935,-66.19554643206293
788,"Kevin Salgado 
 Zambrano",super welter,14 1 1,25.0,"San Antonio, Texas, USA",14,1,1,16,87.5,"San Antonio, Texas", USA,39.47622372329763,-100.21761564282859
789,Kaisee Benjamin,super light,16 2 1,27.0,"Birmingham, West Midlands, United Kingdom",16,2,1,19,84.2,"Birmingham, West Midlands", United Kingdom,54.903274437861306,-3.3092201597850273
790,"Adrian Curiel 
 Dominguez",fly,21 4 0,23.0,"Mexico City, Distrito Federal, Mexico",21,4,0,25,84.0,"Mexico City, Distrito Federal", Mexico,23.868032671808162,-102.28108017598676
791,Tsubasa Koura,minimum,15 2 1,28.0,"Yokohama, Kanagawa, Japan",15,2,1,18,83.3,"Yokohama, Kanagawa", Japan,36.66214823974121,137.76794954928553
792,Khoren Gevor,super middle,35 10 0,42.0,"Hamburg, Hamburg, Germany",35,10,0,45,77.8,"Hamburg, Hamburg", Germany,50.70509060575869,10.384460267844666
793,Froilan Saludar,bantam,33 6 1,33.0,"Cagayan de Oro City, Misamis Oriental, Philippines",33,6,1,40,82.5,"Cagayan de Oro City, Misamis Oriental", Philippines,12.400521014834586,122.91199645169509
794,Lukasz Stanioch,super middle,8 1 0,27.0,"Szczecin, Poland",8,1,0,9,88.9,Szczecin, Poland,52.45030767439157,19.414797436333767
795,Anthony Sims Jr,super middle,22 1 0,27.0,"Los Angeles, California, USA",22,1,0,23,95.7,"Los Angeles, California", USA,39.04641142780665,-100.35244445260476
796,Ridwan Oyekola,super feather,10 1 1,25.0,"Tomigusuku, Okinawa, Japan",10,1,1,12,83.3,"Tomigusuku, Okinawa", Japan,36.30838250429149,139.50424026742763
797,Hadillah Mohoumadi,super middle,23 6 2,42.0,"Elancourt, Yvelines, France",23,6,2,31,74.2,"Elancourt, Yvelines", France,46.01619035270684,0.6922563996073066
798,Dmytro Mytrofanov,super welter,12 0 1,33.0,"Chernigov, Ukraine",12,0,1,13,92.3,Chernigov, Ukraine,48.773038854965186,31.347824866565823
799,Bastien Ballesta,super light,25 0 1,28.0,"Beziers, Hérault, France",25,0,1,26,96.2,"Beziers, Hérault", France,46.340798897792006,1.2839498691789033
800,"Eduardo Javier 
 Abreu",super light,13 1 1,34.0,"Montevideo, Uruguay",13,1,1,15,86.7,Montevideo, Uruguay,-33.06091233581799,-56.199712313924515
801,Jin Minamide,bantam,7 2 0,27.0,"Kashiwa, Chiba, Japan",7,2,0,9,77.8,"Kashiwa, Chiba", Japan,36.02637731880424,139.29535659230538
802,Damian Jonak,middle,43 1 2,39.0,"Tarnowskie Gory, Poland",43,1,2,46,93.5,Tarnowskie Gory, Poland,52.745344151273954,18.96613655530943
803,George Acosta,super feather,13 1 0,26.0,"Whittier, California, USA",13,1,0,14,92.9,"Whittier, California", USA,39.6159211525968,-100.08599823135832
804,"Alberto Ezequiel 
 Melian",feather,10 2 1,32.0,"Buenos Aires, Distrito Federal, Argentina",10,2,1,13,76.9,"Buenos Aires, Distrito Federal", Argentina,-34.16731951828537,-66.37588528707673
805,Frank Urquiaga,light,17 3 1,35.0,"Barcelona, Cataluña, Spain",17,3,1,21,81.0,"Barcelona, Cataluña", Spain,39.08438561053182,-4.4282972793506
806,"Armando Ramirez 
 Almanza",super feather,8 1 1,25.0,"Celaya, Guanajuato, Mexico",8,1,1,10,80.0,"Celaya, Guanajuato", Mexico,23.770132152971886,-102.51001196413327
807,"Gohan Rodriguez 
 Garcia",fly,12 2 1,22.0,"Gomez Palacio, Durango, Mexico",12,2,1,15,80.0,"Gomez Palacio, Durango", Mexico,23.991375761287046,-101.8939721695384
808,Rostam Ibrahim,light heavy,11 0 2,30.0,"Essen, Nordrhein-Westfalen, Germany",11,0,2,13,84.6,"Essen, Nordrhein-Westfalen", Germany,50.931056752222645,10.718644910090223
809,Hiroya Nojima,middle,11 1 0,27.0,"Nagoya, Aichi, Japan",11,1,0,12,91.7,"Nagoya, Aichi", Japan,36.631423946700174,139.58119162883506
810,Asror Vokhidov,super bantam,11 1 0,27.0,"Saint Petersburg, Russia",11,1,0,12,91.7,Saint Petersburg, Russia,65.45690743081438,98.26269844664064
811,Luvuyo Sizani,light heavy,7 0 0,29.0,"Eastern Cape, South Africa",7,0,0,7,100.0,Eastern Cape, South Africa,-28.199718444690788,24.605767382299632
812,John Mannu,super light,7 0 1,26.0,"Wantirna, Victoria, Australia",7,0,1,8,87.5,"Wantirna, Victoria", Australia,-24.206937802083697,135.09792751012705
813,Faton Vukshinaj,middle,14 0 2,31.0,"Basel, Switzerland",14,0,2,16,87.5,Basel, Switzerland,46.826620480512034,8.650541116880959
814,Mateus Heita,super bantam,8 0 0,24.0,Namibia,8,0,0,8,100.0,Namibia,,45.716323112956374,8.324258369237034
814,Mateus Heita,super bantam,8 0 0,24.0,Namibia,8,0,0,8,100.0,Namibia,,46.33318574509256,10.763557472091675
815,Steven Butler,middle,32 3 1,27.0,"Montreal, Quebec, Canada",32,3,1,36,88.9,"Montreal, Quebec", Canada,61.80368052676552,-108.9971879859546
816,Aaron Silva,super middle,10 0 0,25.0,"Monterrey, Nuevo León, Mexico",10,0,0,10,100.0,"Monterrey, Nuevo León", Mexico,23.52990315665049,-101.52850630728672
817,Kamil Gardzielik,middle,15 0 0,30.0,"Warsaw, Poland",15,0,0,15,100.0,Warsaw, Poland,52.478867573461876,19.259734870556123
818,Demond Nicholson,super middle,26 4 1,29.0,"Laurel, Maryland, USA",26,4,1,31,83.9,"Laurel, Maryland", USA,39.1328423876039,-100.69791757308977
819,Roberto Ramirez,light,25 3 1,29.0,"San Diego, California, USA",25,3,1,29,86.2,"San Diego, California", USA,39.649206897593125,-101.09873281764628
820,Luca Rigoldi,super bantam,27 2 2,29.0,"Caldogno, Veneto, Italy",27,2,2,31,87.1,"Caldogno, Veneto", Italy,42.40550755559558,12.86314312032791
821,Alan Picasso Romero,super bantam,22 0 1,22.0,"Mexico City, Distrito Federal, Mexico",22,0,1,23,95.7,"Mexico City, Distrito Federal", Mexico,23.69240743535188,-101.42942547445702
822,Lester Martinez,super middle,14 0 0,27.0,"Guatemala City, Guatemala",14,0,0,14,100.0,Guatemala City, Guatemala,15.745408373680212,-90.3419712121104
823,Jayde Mitchell,super middle,21 2 0,36.0,"Rye, Victoria, Australia",21,2,0,23,91.3,"Rye, Victoria", Australia,-25.39073990793442,135.16574747756746
824,Hector Valdez,super bantam,16 0 0,27.0,"Dallas, Texas, USA",16,0,0,16,100.0,"Dallas, Texas", USA,39.55012192357188,-100.25710269632485
825,"Shervantaigh 
 Koopman",super welter,10 0 0,28.0,"Gauteng, South Africa",10,0,0,10,100.0,Gauteng, South Africa,-28.06878857918912,25.118070460802198
826,Isaias Lucero,welter,15 0 0,27.0,"Tijuana, Baja California, Mexico",15,0,0,15,100.0,"Tijuana, Baja California", Mexico,23.729742139049,-101.51076817423771
827,Ray Seitzhanov,super light,11 0 0,24.0,"Aktobe, Kazakhstan",11,0,0,11,100.0,Aktobe, Kazakhstan,48.04539836085964,66.9349456092901
828,"Krzysztof 
 Wlodarczyk",cruiser,61 4 1,41.0,"Warsaw, Poland",61,4,1,66,92.4,Warsaw, Poland,52.85207942228672,19.444983895231147
829,Hiroki Hanabusa,feather,10 2 3,23.0,"Kanazawa, Ishikawa, Japan",10,2,3,15,66.7,"Kanazawa, Ishikawa", Japan,36.218903185987955,138.79730289005565
